,var,coef
0,sc_sqft_living,57358.14449329244
1,sc_medina_dist,-96446.8661510884
2,grad_9,175475.7296889188
3,grad_10,240500.19709757227
4,grad_8,91483.03974883916
5,sc_sqft_lot,22362.953367821905
6,view_4.0,174971.5027131025
7,cond_5,91936.44367525948
8,grad_11,266321.56921455497
9,view_2.0,62322.80281276009
10,floo_1.5,42262.617993256266
11,grad_7,26827.254986592496
12,view_3.0,77347.91452680576
13,view_1.0,63663.547432549676
14,floo_2.0,23512.391301536136
15,cond_4,60185.95498083519
16,bath_4.0,21470.20593371951
17,cond_3,42068.79302712378
18,floo_3.0,25530.72190426143
19,grad_12,386808.7761411949
20,bath_2.0,-8027.0372985527965
21,floo_2.5,38966.99263742677
22,bath_8.0,-248929.52105978123
23,grad_6,-14218.818808071586
24,bath_6.0,-148799.88731838614
