,var,coef,Orig,Scaled
0,sc_sqft_living,57358.14449,3481,1.741175298
1,sc_medina_dist,-96446.86615,7,0.745230601
2,grad_9,175475.7297,0,0
3,grad_10,240500.1971,1,1
4,grad_8,91483.03975,0,0
5,sc_sqft_lot,22362.95337,16988,0.881703256
6,view_4.0,174971.5027,1,1
7,cond_5,91936.44368,1,1
8,grad_11,266321.5692,0,0
9,view_2.0,62322.80281,0,0
10,floo_1.5,42262.61799,0,0
11,grad_7,26827.25499,0,0
12,view_3.0,77347.91453,0,0
13,view_1.0,63663.54743,0,0
14,floo_2.0,23512.3913,0,0
15,cond_4,60185.95498,0,0
16,bath_4.0,21470.20593,1,1
17,cond_3,42068.79303,0,0
18,floo_3.0,25530.7219,1,1
19,grad_12,386808.7761,0,0
20,bath_2.0,-8027.037299,0,0
21,floo_2.5,38966.99264,0,0
22,bath_8.0,-248929.5211,0,0
23,grad_6,-14218.81881,0,0
24,bath_6.0,-148799.8873,0,0
